I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.005944382,0.113136075,0.022059089,-0.029403886,-0.046997517,0.024913888,0.05347613,0.026976109,-0.047239732,-0.13168892,0.03493849,-0.035386387
0.014271536,0.10288968,0.041141056,-0.020749796,-0.03910045,0.024331907,0.058972094,0.027759561,-0.03113254,-0.12052056,0.036765404,-0.026991379
0.015420577,0.09074133,0.024031352,-0.02483213,-0.03497774,0.028439602,0.045974545,0.019707402,-0.052906513,-0.13004652,0.040865302,-0.019468158
0.027409513,0.09700372,0.025674341,-0.041180514,-0.036273792,0.022206819,0.05131216,0.008738069,-0.047620192,-0.1255245,0.048571337,-0.03257989
0.016050395,0.09680179,0.049518015,-0.040640168,-0.06209006,0.042449646,0.077881,0.028767258,-0.05252944,-0.1116442,0.04248626,-0.027562125
0.006143825,0.099208936,0.055346288,-0.030212231,-0.037473217,0.05989968,0.07533532,0.050004724,-0.049669374,-0.11605062,0.03575327,-0.021538014
0.032625154,0.10459021,0.015707236,-0.022813456,-0.046104968,0.02556549,0.048289057,0.039509233,-0.056993037,-0.13264027,0.023390373,-0.015336379
0.005990039,0.09344878,0.031724863,-0.0450463,-0.03986322,0.011015608,0.056036133,0.02090613,-0.039229475,-0.13243686,0.048502747,-0.031388067
0.0032779018,0.095730685,0.036671095,-0.02914911,-0.048197214,0.028020453,0.071169406,0.027137062,-0.0417038,-0.11717688,0.04529958,-0.02643825
0.010750265,0.09278405,0.03802698,-0.02505962,-0.030437686,0.03277989,0.062497016,0.026703455,-0.038735423,-0.12248304,0.045515705,-0.031436156
0.021048494,0.101151764,0.01749342,-0.029490355,-0.03733505,0.02067742,0.037624475,0.014689401,-0.05426675,-0.13659854,0.032880288,-0.029377531
0.010610511,0.0987292,0.02864623,-0.036262304,-0.022165008,0.011374774,0.045967214,0.010318366,-0.03891894,-0.12724788,0.04476961,-0.036674935
0.013672167,0.10283556,0.024854654,-0.02893801,-0.044071652,0.030308375,0.051324777,0.019534567,-0.047037262,-0.12824665,0.040999267,-0.028738717
0.011768824,0.096216135,0.038928814,-0.02898498,-0.032405213,0.019743225,0.056510344,0.021102667,-0.03833844,-0.119536534,0.042441443,-0.027403358
0.012082716,0.09415834,0.024493715,-0.029625447,-0.037686728,0.031446487,0.05180318,0.02103799,-0.050488032,-0.13495456,0.042658497,-0.025167853
0.029690735,0.10509381,0.031211577,-0.036829587,-0.03856336,0.017525475,0.04737344,0.016888514,-0.04394065,-0.12426448,0.044507135,-0.02969314
0.009222659,0.08990893,0.042425666,-0.038767997,-0.05333729,0.041154202,0.059407063,0.030722544,-0.05201054,-0.12135403,0.04677949,-0.015915956
0.022388732,0.088736616,0.03840793,-0.040132612,-0.047975272,0.03881491,0.07095019,0.020445952,-0.0514492,-0.112975985,0.04281212,-0.028115781
